2025-08-19 15:41:31 | INFO | test_login.py:16 | ******** Test001login **********
2025-08-19 15:41:31 | INFO | test_login.py:17 | ******** Verifying Homepage Title **********
2025-08-19 15:41:32 | INFO | test_login.py:24 | ******** Verifying Homepage Title test case pased **********
2025-08-19 15:41:45 | INFO | test_login.py:32 | ******** Verifying Test Login  **********
2025-08-19 15:41:51 | INFO | test_login.py:45 | ******** Verifying Login test case Passed **********
2025-08-20 10:51:18 | INFO | test_login.py:16 | ******** Test001login **********
2025-08-20 10:51:18 | INFO | test_login.py:17 | ******** Verifying Homepage Title **********
2025-08-20 10:51:19 | INFO | test_login.py:24 | ******** Verifying Homepage Title test case pased **********
2025-08-20 10:51:23 | INFO | test_login.py:32 | ******** Verifying Test Login  **********
2025-08-20 10:51:27 | INFO | test_login.py:45 | ******** Verifying Login test case Passed **********
2025-08-20 11:30:49 | INFO | test_login.py:32 | ******** Verifying Test Login  **********
2025-08-20 11:30:49 | INFO | test_login.py:16 | ******** Test001login **********
2025-08-20 11:30:49 | INFO | test_login.py:17 | ******** Verifying Homepage Title **********
2025-08-20 11:30:51 | INFO | test_login.py:24 | ******** Verifying Homepage Title test case pased **********
2025-08-20 11:30:54 | INFO | test_login.py:45 | ******** Verifying Login test case Passed **********
2025-08-20 11:34:52 | INFO | test_login.py:16 | ******** Test001login **********
2025-08-20 11:34:52 | INFO | test_login.py:17 | ******** Verifying Homepage Title **********
2025-08-20 11:34:53 | INFO | test_login.py:24 | ******** Verifying Homepage Title test case pased **********
2025-08-20 11:34:57 | INFO | test_login.py:32 | ******** Verifying Test Login  **********
2025-08-20 11:35:00 | INFO | test_login.py:45 | ******** Verifying Login test case Passed **********
2025-08-20 11:38:06 | INFO | test_login.py:16 | ******** Test001login **********
2025-08-20 11:38:06 | INFO | test_login.py:17 | ******** Verifying Homepage Title **********
2025-08-20 11:38:07 | INFO | test_login.py:24 | ******** Verifying Homepage Title test case pased **********
2025-08-20 11:38:10 | INFO | test_login.py:32 | ******** Verifying Test Login  **********
2025-08-20 11:38:15 | INFO | test_login.py:45 | ******** Verifying Login test case Passed **********
2025-08-20 11:43:18 | INFO | test_login.py:16 | ******** Test001login **********
2025-08-20 11:43:18 | INFO | test_login.py:17 | ******** Verifying Homepage Title **********
2025-08-20 11:43:18 | INFO | test_login.py:32 | ******** Verifying Test Login  **********
2025-08-20 11:43:19 | INFO | test_login.py:24 | ******** Verifying Homepage Title test case pased **********
2025-08-20 11:43:22 | INFO | test_login.py:45 | ******** Verifying Login test case Passed **********
2025-08-20 12:06:03 | INFO | test_login.py:16 | ******** Test001login **********
2025-08-20 12:06:03 | INFO | test_login.py:17 | ******** Verifying Homepage Title **********
2025-08-20 12:06:04 | INFO | test_login.py:32 | ******** Verifying Test Login  **********
2025-08-20 12:06:05 | INFO | test_login.py:24 | ******** Verifying Homepage Title test case pased **********
2025-08-20 12:06:11 | INFO | test_login.py:45 | ******** Verifying Login test case Passed **********
2025-08-20 14:42:42 | INFO | test_loginDDT.py:14 | ******** Test002_DDT_Login Started ********
2025-08-21 15:33:09 | INFO | test_addnewCustomer.py:19 | ******** Test003_AddCustomer  **********
2025-08-21 15:33:11 | INFO | test_addnewCustomer.py:27 | ******** Login successful  **********
